window_idx,true_label,original_xgboost_score,counterfactual_perfect_score,improvement,reduction_pct
489,0,0.000164,0.999999,0.999835,609618.32
490,0,6.7e-05,0.999999,0.999932,1492213.1
491,1,0.999979,0.999999,2e-05,0.0
492,0,0.000122,0.999999,0.999877,819504.14
493,0,0.000449,0.999999,0.99955,222611.97
494,0,7.6e-05,0.999999,0.999923,1315515.06
495,1,0.999816,0.999999,0.000183,0.02
496,0,0.000113,0.999999,0.999886,884776.57
497,1,0.998843,0.999999,0.001156,0.12
498,1,0.999931,0.999999,6.8e-05,0.01
499,0,3.4e-05,0.999999,0.999965,2940208.76
500,0,7.3e-05,0.999999,0.999926,1369574.03
501,1,0.999975,0.999999,2.4e-05,0.0
502,0,8.1e-05,0.999999,0.999918,1234314.28
503,1,0.999801,0.999999,0.000198,0.02
504,0,0.000176,0.999999,0.999823,568048.97
505,1,0.999495,0.999999,0.000504,0.05
506,0,0.001076,0.999999,0.998923,92835.85
507,1,0.938711,0.999999,0.061288,6.53
508,0,6.3e-05,0.999999,0.999936,1586948.1
509,0,0.000212,0.999999,0.999787,471575.4
510,0,0.000179,0.999999,0.99982,558527.46
511,0,0.000278,0.999999,0.999721,359598.94
512,0,0.001556,0.999999,0.998443,64166.88
513,0,3.6e-05,0.999999,0.999963,2776903.64
514,0,0.002983,0.999999,0.997016,33423.15
515,0,0.000631,0.999999,0.999368,158375.94
516,1,0.999873,0.999999,0.000126,0.01
517,1,0.999892,0.999999,0.000107,0.01
518,1,0.999932,0.999999,6.7e-05,0.01
519,1,0.998583,0.999999,0.001416,0.14
520,1,0.999789,0.999999,0.00021,0.02
521,1,0.999864,0.999999,0.000135,0.01
522,0,0.00021,0.999999,0.999789,476067.33
523,1,0.99989,0.999999,0.000109,0.01
524,0,0.000226,0.999999,0.999773,442357.86
525,1,0.999894,0.999999,0.000105,0.01
526,1,0.999872,0.999999,0.000127,0.01
527,0,0.000156,0.999999,0.999843,640883.92
528,1,0.99986,0.999999,0.000139,0.01
529,0,4.5e-05,0.999999,0.999954,2221626.31
530,1,0.999908,0.999999,9.1e-05,0.01
531,1,0.997063,0.999999,0.002936,0.29
532,0,3.6e-05,0.999999,0.999963,2776903.64
533,1,0.99987,0.999999,0.000129,0.01
534,0,0.000127,0.999999,0.999872,787238.8
535,0,0.000552,0.999999,0.999447,181055.96
536,1,0.999924,0.999999,7.5e-05,0.01
537,1,0.999934,0.999999,6.5e-05,0.01
538,1,0.999611,0.999999,0.000388,0.04
539,1,0.999343,0.999999,0.000656,0.07
540,0,0.000443,0.999999,0.999556,225628.32
541,0,9.8e-05,0.999999,0.999901,1020203.04
542,1,0.999873,0.999999,0.000126,0.01
543,1,0.999761,0.999999,0.000238,0.02
544,0,0.162891,0.999999,0.837108,513.91
545,0,0.007353,0.999999,0.992646,13499.86
546,0,0.195802,0.999999,0.804197,410.72
547,1,0.999962,0.999999,3.7e-05,0.0
548,1,0.999298,0.999999,0.000701,0.07
549,0,0.000732,0.999999,0.999267,136510.02
550,0,0.001194,0.999999,0.998805,83651.31
551,1,0.979907,0.999999,0.020092,2.05
552,0,0.001963,0.999999,0.998036,50842.13
553,1,0.999663,0.999999,0.000336,0.03
554,1,0.997375,0.999999,0.002624,0.26
555,0,0.000318,0.999999,0.999681,314355.21
556,0,0.000242,0.999999,0.999757,413105.66
557,0,0.003737,0.999999,0.996262,26659.33
558,0,0.00056,0.999999,0.999439,178468.06
559,1,0.999945,0.999999,5.4e-05,0.01
560,0,0.000377,0.999999,0.999622,265144.69
561,1,0.9997,0.999999,0.000299,0.03
562,0,0.073733,0.999999,0.926266,1256.24
563,1,0.999909,0.999999,9e-05,0.01
564,0,0.0019,0.999999,0.998099,52531.25
565,0,0.000152,0.999999,0.999847,657750.81
566,1,0.999801,0.999999,0.000198,0.02
567,1,0.999936,0.999999,6.3e-05,0.01
568,1,0.999919,0.999999,8e-05,0.01
