sinr_dl_db,mcs_dl,packet_loss_ratio,prb_utilization,retransmissions,cqi,load_level,mobility_speed,shadowing_enabled,throughput_mbps_roll3,throughput_mbps_roll5,throughput_mbps_lag1,throughput_mbps_lag3,jitter_ms_roll3,jitter_ms_roll5,jitter_ms_lag1,jitter_ms_lag3,sinr_dl_db_roll3,sinr_dl_db_roll5,sinr_dl_db_lag1,sinr_dl_db_lag3,packet_loss_ratio_roll3,packet_loss_ratio_roll5,packet_loss_ratio_lag1,packet_loss_ratio_lag3,timestamp,ue_id,y_true,y_pred
0.466,6,0.475,3,70,4,5,0,1,3.143680666666667,3.14761,0.864512,0.412608,2.7525466666666656,2.992869,4.22727,6.26105,-12.077113333333335,9.50359,-32.3164,-5.33911,0.6510833333333333,0.5801499999999999,0.912,0.9475,4,5,1.45946,4.47079
-5.33911,0,0.76,2,0,0,1,0,0,2.164554666666667,2.0630404,5.1576,3.40893,3.8261333333333325,4.062072000000001,1.45946,2.57091,-12.396503333333333,-9.381911999999996,0.466,-4.38094,0.7156666666666668,0.7321500000000001,0.475,0.56625,5,5,5.79167,7.409738
-17.4844,0,1.0,3,800,0,1,0,1,1.876384,1.9805188,0.471552,0.864512,2.417043333333332,2.809862,5.79167,4.22727,-7.4525033333333335,-11.810969999999998,-5.33911,-32.3164,0.7450000000000001,0.74265,0.76,0.912,5,5,0.0,-0.07935691
-5.33911,0,0.875,3,0,0,2,0,0,0.32091733333333333,1.3969728,0.0,5.1576,3.660556666666666,3.33368,0.0,1.45946,-9.387540000000001,-12.002603999999998,-17.4844,0.466,0.8783333333333334,0.8044,1.0,0.475,5,5,5.19,8.254542
-22.7878,0,1.0,3,431,0,2,0,1,0.16373333333333334,1.2240704,0.4912,0.471552,1.7299999999999989,2.488226,5.19,5.79167,-15.20377,-10.096883999999998,-5.33911,-5.33911,0.9583333333333335,0.8220000000000001,0.875,0.76,5,5,0.0,-2.907958
-5.33911,0,0.928333,3,0,0,3,0,0,0.304544,0.27703679999999997,0.0,0.0,3.770973333333332,3.4209180000000003,0.0,0.0,-11.15534,-11.257905999999997,-22.7878,-17.4844,0.9344443333333334,0.9126666,1.0,1.0,5,5,6.12292,4.9062133
-18.94,0,0.896667,3,495,0,3,0,1,0.34384,0.30454400000000004,0.422432,0.4912,6.028039999999998,4.654824,6.12292,5.19,-15.68897,-13.978083999999999,-5.33911,-5.33911,0.9416666666666668,0.9399999999999998,0.928333,0.875,5,5,11.9612,1.4602106
89.0884,28,0.0,2,0,15,3,10,0,2.30864,1.483424,0.609088,0.0,6.176510666666665,4.7439064,11.9612,0.0,21.60309666666667,7.336476000000002,-18.94,-22.7878,0.6083333333333334,0.74,0.896667,1.0,5,5,0.445412,0.4519315
89.0884,28,0.0,2,0,15,3,1,0,4.132629333333334,2.5640639999999997,5.8944,0.422432,4.284007999999999,3.7949887999999996,0.445412,6.12292,53.07893333333333,26.221978,89.0884,-5.33911,0.2988890000000001,0.565,0.0,0.928333,5,5,0.445412,0.4758289
89.0884,28,0.0,2,0,15,3,3,0,5.8944,3.742944,5.8944,0.609088,0.445412,3.8840711999999997,0.445412,11.9612,89.0884,48.597218,89.0884,-18.94,0.0,0.36499999999999994,0.0,0.896667,5,5,0.445412,0.054889366
